u,g,r,i,z,specClass,redshift,zerr
18.610222,18.410435,18.455702,18.353773,18.133831,3,0.426671,1.38283E-3
20.497831,20.161953,20.239063,20.412947,20.446335,1,-1.04188E-4,4.75107E-4
19.268963,19.167713,18.869823,18.899155,18.979563,3,1.24148,1.3847E-3
19.717455,18.679062,18.290808,18.124559,18.066883,1,-3.4395E-4,7.81606E-5
19.030945,16.973633,15.990466,15.516333,15.125383,2,0.04631,1.63598E-4
19.034267,18.954351,18.78491,18.48348,18.287811,3,2.01096,1.43928E-3
20.290501,19.086992,19.015551,18.974144,19.005377,1,-1.17862E-3,1.2668E-4
18.876251,17.171196,16.483458,16.050417,15.731419,2,0.081408,1.75145E-4
19.036634,17.431393,16.608067,16.235512,15.897608,2,0.112732,1.43168E-4
19.035063,17.918159,17.310255,16.930933,16.696283,2,0.104462,8.08558E-5
18.299902,16.989222,16.269045,15.883619,15.622237,2,0.095315,1.98683E-4
22.307913,21.093126,19.887203,19.398008,19.4266,1,-3.69734E-4,2.66473E-4
19.054113,17.104286,16.117006,15.69975,15.356396,2,0.104568,1.54632E-4
19.095768,17.476255,16.742517,16.371344,16.068565,2,0.110456,1.46026E-4
18.489058,17.459185,17.129765,16.817739,16.721832,2,0.079324,8.04369E-5
19.571184,18.339611,17.642069,17.289841,17.054911,2,0.140082,1.39057E-4
17.852468,15.766936,14.784266,14.318637,13.952947,2,0.048265,1.94505E-4
18.940622,16.834738,15.66647,15.190959,14.840162,2,0.144245,1.80967E-4
19.108212,17.410013,16.488647,16.038189,15.667488,2,0.110031,1.40137E-4
19.350393,17.709867,16.785055,16.285814,15.871748,2,0.04891,2.06191E-4
18.280024,17.384054,17.166458,17.079609,17.050701,1,-6.32723E-4,8.02525E-5
18.943193,18.110218,17.65753,17.338223,17.241838,2,0.12599,5.0996E-5
19.432592,17.998713,17.242653,16.826622,16.48946,2,0.097317,1.57575E-4
18.522121,17.330753,16.806494,16.49725,16.272959,2,0.052781,9.72753E-5
19.065992,17.977707,17.507147,17.210611,17.172186,2,0.074865,7.49404E-5
17.865744,16.807409,16.332623,16.232546,16.702568,2,8.18824E-3,2.66076E-4
19.017914,16.956043,15.974607,15.505612,15.15046,2,0.07832,1.84157E-4
18.376875,17.385937,17.064299,16.9505,16.920097,1,3.2575E-4,7.28137E-5
18.775833,17.524679,16.835436,16.418457,16.183935,2,0.078756,7.59423E-5
18.599499,16.89747,16.097996,15.679614,15.366735,2,0.076245,1.56199E-4
19.311003,19.262835,18.9828,19.074291,19.123861,3,1.34557,1.6922E-3
19.497805,18.337971,17.558428,17.183075,16.915724,2,0.148836,1.20811E-4
18.31411,16.832273,16.094406,15.678792,15.330716,2,0.057452,1.64296E-4
18.880236,17.433577,16.83473,16.50177,16.291977,2,0.11046,1.79478E-4
18.881214,17.903908,17.519424,17.314259,17.094908,2,0.048417,7.40367E-5
17.502306,17.68289,18.047808,18.28121,18.391441,1,7.86249E-4,1.15005E-4
18.948765,17.054579,16.074135,15.620954,15.237711,2,0.094335,1.5631E-4
16.12108,15.010913,14.523611,14.268434,14.152718,2,8.46703E-3,1.26906E-5
19.319439,18.043335,17.302452,16.884157,16.592049,2,0.086778,1.02301E-4
19.009676,17.13932,16.269056,15.887787,15.543765,2,0.043965,1.64814E-4
18.646912,17.257437,16.755606,16.435307,16.271088,2,0.062399,1.82684E-4
